Name; Address
"Sammy's Halal Food"; "6th Ave &, West 4th Street, New York, NY 10011"
"King's Halal Food"; "6th Ave &, West 3rd Street, New York, NY 10011"
"14 Street Halal Food"; "4th Ave &, East 14th Street, New York, NY 10003 "
"Halal"; "4th Ave &, East 14th Street, New York, NY 10003 "
"Santa Halal Food"; "124 E 14th St, New York, NY 10003"
"Farook Halal Food"; "140 East 14th Street, Palladium Hall, New York, NY 10003"
"The Halal Kitchen"; "136 University Pl, New York, NY 10003"
"Mido's Halal Food"; "631-615 6th Ave, New York, NY 10011"
"Habibi Halal Food"; "117 E 23rd St, New York, NY 10010"
"Halal Gyro"; "22-98 E 28th St, New York, NY 10016"
"Fefo Food"; "44 West 4th Street, New York, NY 10012"
"Biryani Car"; "51 Astor Pl, New York, NY 10003"
"King Cab Halal Food"; "10th Ave &, W 28th St, New York, NY 10001"
"The Halal Paradise"; "481-499 Fashion Ave, New York, NY 10018"
"Sharif Halal Food"; "W 31st St &, Broadway, New York, NY 10001"
"My Biryani"; "106-100 W 44th St, New York, NY 10036"
"Adel's Famous Halal Food"; "1221 6th Ave, New York, NY 10020"
"The Halal Guys"; "6th Ave &, West 53rd Street, New York, NY 10019"
"The Halal Guys"; "75 W 53rd St, New York, NY 10019 "
"Mama's Halal Food"; "7th Ave &, West 51st Street, New York, NY 10019"
"Real Halal Guys"; "100-134 W 54th St, New York, NY 10019"
"Aadil's Halal Food"; "608-606 5th Ave, New York, NY 10020"
"King of Falafel and Shawarma"; "390 Park Ave, New York, NY 10022"
"4guy's Halal"; "599 Lexington Ave, New York, NY 10022"
"Kabul Halal Food"; "51 Lexington Ave, New York, NY 10022"
"XPL Halal Food"; "820 2nd Ave, New York, NY 10017"
"Fast&buy Halal Food"; "424 Park Ave S, New York, NY 10016"
"Rafiqi's"; "5th Ave &, West 39th Street, New York, NY 10018"
"Halal food"; "207 E 41st St, New York, NY 10017"
"Royal Grill Halal Food"; "1133 6th Ave, New York, NY 10036"
"Kwik Meal"; "100 W 45th St, New York, NY 10036"
"Magdy's"; "101 E 46th St, New York, NY 10167"
"Famous Halal Food"; "501-513 W 45th St, New York, NY 10036"
"Halal Food"; "11th Ave &, West 42nd Street, New York, NY 10036"
"Miriam and Sara Halal Food"; "717 6th Ave, New York, NY 10009"
"Tariq's #1 Halal Food"; "240 Park Ave S, New York, NY 10003"
"Chelsea Halal Food"; "11th ave, W 26th St, New York, NY 10001"
"#1 Soho Halal Guy"; "1-17 W Houston St, New York, NY 10012"
"J.K. Hossain Halal Food"; "60 Spring St, New York, NY 10012"
"Araf Biriyani & Halal Food"; "560 Broadway, New York, NY 10012"
"Halal Food"; "315 Lafayette St, New York, NY 10012"
"Halal Food"; "95 E Houston St, New York, NY 10012"
"Halal Food New York"; "158 Delancey St, New York, NY 10002"
"Halal Food"; "122 Delancey St, New York, NY 10002"
"KL Halal Food"; "416 Broadway, New York, NY 10013"
"Rafiqi's"; "139-169 Chambers St, New York, NY 10007"
"Umar Express Halal Food"; "258 Greenwich St, New York, NY 10007"
"Indian Biryani Delight"; "258 Greenwich St, New York, NY 10007"
"Bangladesh India Pakistan Biryani House"; "253 Greenwich St, New York, NY 10007"
"Halal Food"; "133 W 49th St, New York, NY 10019"
"Halal Food"; "100 W 49th St, New York, NY 10019"
"Albaik Express Halal Food"; "136 Maiden Ln, New York, NY 10038"
"Adel's #1 Halal Food"; "145 Front St, New York, NY 10038"
"NYC Best Halal Food"; "193 Broadway, New York, NY 10007"
"Continental Express Halal Food"; "2-12 Beaver St, New York, NY 10004"
"Sam's Falafel"; "100 Cedar St, New York, NY 10006"
"King Biryani House"; "141 Broadway, New York, NY 10006"
"Halal"; "137 Broadway, New York, NY 10006"
"The Halal Guys"; "Broadway &, Cedar St, New York, NY 10006"
